IdVenta,DocuVenta,Fecha,Total,SubTotal,IGV,IdVendedor,IdCliente
292,B/001-001126,2018-01-22 00:00:00,7.5,6.2999999999999998,1.2,2,1
293,B/001-001127,2018-01-22 00:00:00,18,15.130000000000001,2.8700000000000001,2,1
294,B/001-001128,2018-01-23 00:00:00,19,15.970000000000001,3.0299999999999998,3,1
295,B/001-001129,2018-01-23 00:00:00,20,16.809999999999999,3.1899999999999999,3,1
296,B/001-001130,2018-01-23 00:00:00,6,5.04,0.95999999999999996,2,1
297,B/001-001131,2018-01-23 00:00:00,12,10.08,1.9199999999999999,3,11
298,B/001-001132,2018-01-23 00:00:00,7,5.8799999999999999,1.1200000000000001,3,11
299,B/001-001133,2018-01-23 00:00:00,7.5,6.2999999999999998,1.2,3,11
300,B/001-001134,2018-01-23 00:00:00,6.5,5.46,1.04,3,12
301,B/001-001135,2018-01-23 00:00:00,18,15.130000000000001,2.8700000000000001,3,12
302,B/001-001136,2018-01-23 00:00:00,27,22.690000000000001,4.3099999999999996,3,12
303,B/001-001137,2018-01-23 00:00:00,8,6.7199999999999998,1.28,3,12
304,B/001-001138,2018-01-23 00:00:00,10.5,8.8200000000000003,1.6799999999999999,3,14
305,B/001-001139,2018-01-23 00:00:00,6,5.04,0.95999999999999996,3,12
306,B/001-001140,2018-01-23 00:00:00,17,14.289999999999999,2.7200000000000002,3,23
307,B/001-001141,2018-01-23 00:00:00,18.5,15.550000000000001,2.9500000000000002,3,23
308,B/001-001142,2018-01-23 00:00:00,14,11.76,2.23,2,24
309,B/001-001143,2018-01-23 00:00:00,20,16.809999999999999,3.1899999999999999,3,25
310,B/001-001144,2018-01-23 00:00:00,10,8.4000000000000004,1.6000000000000001,3,25
